Orthogroup	Agabi_varbur_1	Altal1	Altalt1	Altbr1	Altro1	Amamu1	Armost1	Ascsa1	Aspcam1	Aspnov1	Aspoch1	Asptaic1	Bauco1	Blugr2	BlugrR1_1	Boeex1	Botbo1	Botci1	Cadsp1	Cenge3	Chafu1	Chagl1	Chagl_1	Chalo1	Chame1	Clapu1	Cocsa1	Cocvi1	Colch1	Colhig2	Colto1	Copci1	Copph3	Corca1	Cylol1	Daces1	Dacma1	DalEC12_1	Denna1	Dipse1	Falor1	Fusco1	Fuscu1	Fuseq1	Fusfu1	Fusgr1	Fusox2	Fusoxy1	Fusoxys1	Fusre1	Fusso1	Fustr1	Fustri1	Fusve2	Fusven1	Gaegr1	Galma1	Geopyr1	Gigmar1	Gigro1	Gyman1	Hebcy2	Helo229	Hetan2	Ilyeu1	Lacbi2	Lepmu1	Lepor2	Lobtra1	Macph1	Macpha1	Maggr1	MagnaMG8	MagorGY11_1	Melbi2	Melva1	Micbo1	Mictri1	Morco1	Morel2	Morel_U14_1	Mycfi2	Mycgr3	Neodi1	Neora1	Neucr2	Oidma1	Olipa1	Parch1	Parchr1	Paxin1	Pensub1	Perma1	Phapo1	Phimu1	Phisc1	Pilcr1	Pismi1	Plecuc1	Plecucu2	PleosPC15_1	Pyrly1	Pyrsp1	Pyrtr1	Pyrtt1	Ramcocy1	Rhesp1	Rhice1_1	Rhicl1	Rhidi1	Rhier1	Rhiir2_1	Rhyag1	Rhyco1	Rhyse1	Schco1	Sclci1	Sclsc1	Sebve1	Sindi4	Sodal1	Sorhu1	Spogr1	Spore1	Spoth2	Stael1	Stano2	Stely1	Thacu1	Thite2	Tilin1	Trave1	Triat2	Trire2	TriviGv29_8_2	Truan1	Tubae1	Tubma1	Tulca1	U_tricho_v1	Ustbr1	Usthor1	Ustma2_2	Veral1	Verda1	VerdaJR2	Verdah1	Zalva1	Zpa63	Zymtr1
OG0009175																					jgi|Chafu1|469959|gm1.8921_g																																																																																																																																	
OG0009176																					jgi|Chafu1|469960|gm1.8922_g																																																																																																																																	
OG0009177																					jgi|Chafu1|472556|MIX1989_18_19																																																																																																																																	
OG0009178																					jgi|Chafu1|476470|MIX5903_79_95																																																																																																																																	
OG0009179																					jgi|Chafu1|483469|MIX12902_23_45																																																																																																																																	
OG0009180																					jgi|Chafu1|487080|estExt_Genemark1.C_1_t30031																																																																																																																																	
OG0009181																					jgi|Chafu1|49300|CE49299_626																																																																																																																																	
OG0009182																					jgi|Chafu1|493652|estExt_Genemark1.C_8_t10377																																																																																																																																	
OG0009183																					jgi|Chafu1|52653|CE52652_4078																																																																																																																																	
OG0009184																					jgi|Chafu1|57655|CE57654_779																																																																																																																																	
OG0009185																					jgi|Chafu1|6399|CE6398_198																																																																																																																																	
OG0009186																					jgi|Chafu1|75414|CE75413_83																																																																																																																																	
OG0009187																					jgi|Chafu1|76683|CE76682_45																																																																																																																																	
OG0009188																					jgi|Chafu1|81512|CE81511_317																																																																																																																																	
OG0009189																					jgi|Chafu1|88049|CE88048_331																																																																																																																																	
OG0009190																					jgi|Chafu1|95930|CE95929_1529																																																																																																																																	
OG0009191																						jgi|Chagl1|103328|CE103327_20689																																																																																																																																
OG0009192																						jgi|Chagl1|11637|CE11636_572																																																																																																																																
OG0009193																						jgi|Chagl1|125067|CE125066_111																																																																																																																																
OG0009194																						jgi|Chagl1|136476|CE136475_510																																																																																																																																
OG0009195																						jgi|Chagl1|161175|CE161174_252																																																																																																																																
OG0009196																						jgi|Chagl1|173271|CE173270_7168																																																																																																																																
OG0009197																						jgi|Chagl1|182701|CE182700_2018																																																																																																																																
OG0009198																						jgi|Chagl1|187199|CE187198_251																																																																																																																																
OG0009199																						jgi|Chagl1|187297|CE187296_1648																																																																																																																																
OG0009200																						jgi|Chagl1|218292|CE218291_110																																																																																																																																
OG0009201																						jgi|Chagl1|2499|CE2498_430																																																																																																																																
OG0009202																						jgi|Chagl1|271561|CE271560_740																																																																																																																																
OG0009203																						jgi|Chagl1|282230|CE282229_412																																																																																																																																
OG0009204																						jgi|Chagl1|289957|CE289956_2287																																																																																																																																
OG0009205																						jgi|Chagl1|296952|CE296951_62																																																																																																																																
OG0009206																						jgi|Chagl1|299842|CE299841_1133																																																																																																																																
OG0009207																						jgi|Chagl1|302261|CE302260_5649																																																																																																																																
OG0009208																						jgi|Chagl1|308406|CE308405_39																																																																																																																																
OG0009209																						jgi|Chagl1|310076|CE310075_189																																																																																																																																
OG0009210																						jgi|Chagl1|352412|CE352411_304																																																																																																																																
OG0009211																						jgi|Chagl1|356876|CE356875_12																																																																																																																																
OG0009212																						jgi|Chagl1|35765|CE35764_345																																																																																																																																
OG0009213																						jgi|Chagl1|374614|CE374613_1042																																																																																																																																
OG0009214																						jgi|Chagl1|397232|CE397231_26262																																																																																																																																
OG0009215																						jgi|Chagl1|43229|CE43228_841																																																																																																																																
OG0009216																						jgi|Chagl1|480273|e_gw1.1.1584.1																																																																																																																																
OG0009217																						jgi|Chagl1|542835|fgenesh1_pg.1_#_414																																																																																																																																
OG0009218																						jgi|Chagl1|543006|fgenesh1_pg.1_#_585																																																																																																																																
OG0009219																						jgi|Chagl1|543072|fgenesh1_pg.1_#_651																																																																																																																																
OG0009220																						jgi|Chagl1|544273|fgenesh1_pg.1_#_1852																																																																																																																																
OG0009221																						jgi|Chagl1|554304|fgenesh1_kg.1_#_1967_#_TRINITY_DN5426_c0_g1_i1																																																																																																																																
OG0009222																						jgi|Chagl1|554429|fgenesh1_kg.1_#_2092_#_TRINITY_DN7431_c0_g1_i1																																																																																																																																
OG0009223																						jgi|Chagl1|555374|fgenesh1_kg.1_#_3037_#_TRINITY_DN14288_c0_g1_i1																																																																																																																																
OG0009224																						jgi|Chagl1|556900|fgenesh1_kg.1_#_4563_#_TRINITY_DN4130_c0_g1_i1																																																																																																																																
OG0009225																						jgi|Chagl1|558261|fgenesh1_kg.1_#_5924_#_TRINITY_DN5582_c0_g2_i1																																																																																																																																
OG0009226																						jgi|Chagl1|559041|fgenesh1_kg.1_#_6704_#_TRINITY_DN3847_c0_g1_i1																																																																																																																																
OG0009227																						jgi|Chagl1|559260|fgenesh1_kg.1_#_6923_#_TRINITY_DN6954_c1_g14_i1																																																																																																																																
OG0009228																						jgi|Chagl1|560888|fgenesh1_kg.2_#_1523_#_TRINITY_DN8067_c0_g1_i1																																																																																																																																
OG0009229																						jgi|Chagl1|563362|fgenesh1_kg.2_#_3997_#_TRINITY_DN4468_c0_g2_i1																																																																																																																																
OG0009230																						jgi|Chagl1|563559|fgenesh1_kg.2_#_4194_#_TRINITY_DN2950_c0_g1_i1																																																																																																																																
OG0009231																						jgi|Chagl1|564628|fgenesh1_kg.2_#_5263_#_TRINITY_DN4273_c0_g1_i1																																																																																																																																
OG0009232																						jgi|Chagl1|564929|fgenesh1_kg.2_#_5564_#_TRINITY_DN7847_c6_g15_i1																																																																																																																																
OG0009233																						jgi|Chagl1|566779|fgenesh1_kg.3_#_1474_#_TRINITY_DN12694_c0_g3_i1																																																																																																																																
OG0009234																						jgi|Chagl1|566846|fgenesh1_kg.3_#_1541_#_TRINITY_DN6936_c0_g2_i1																																																																																																																																
OG0009235																						jgi|Chagl1|569544|fgenesh1_kg.3_#_4239_#_TRINITY_DN6020_c0_g3_i1																																																																																																																																
OG0009236																						jgi|Chagl1|570383|fgenesh1_kg.4_#_11_#_TRINITY_DN143_c0_g1_i1																																																																																																																																
OG0009237																						jgi|Chagl1|571436|fgenesh1_kg.4_#_1064_#_TRINITY_DN7940_c4_g15_i1																																																																																																																																
OG0009238																						jgi|Chagl1|578392|fgenesh1_kg.5_#_2938_#_TRINITY_DN9351_c0_g1_i1																																																																																																																																
OG0009239																						jgi|Chagl1|579130|fgenesh1_kg.5_#_3676_#_TRINITY_DN12049_c0_g1_i1																																																																																																																																
OG0009240																						jgi|Chagl1|580251|fgenesh1_kg.5_#_4797_#_TRINITY_DN7730_c3_g1_i1																																																																																																																																
OG0009241																						jgi|Chagl1|580491|fgenesh1_kg.5_#_5037_#_TRINITY_DN14097_c0_g1_i1																																																																																																																																
OG0009242																						jgi|Chagl1|582105|fgenesh1_kg.6_#_1494_#_TRINITY_DN2331_c1_g3_i1																																																																																																																																
OG0009243																						jgi|Chagl1|585534|fgenesh1_kg.7_#_632_#_TRINITY_DN7380_c2_g3_i1																																																																																																																																
OG0009244																						jgi|Chagl1|587275|fgenesh1_kg.8_#_226_#_TRINITY_DN8049_c10_g10_i1																																																																																																																																
OG0009245																						jgi|Chagl1|587368|fgenesh1_kg.8_#_319_#_TRINITY_DN3810_c0_g2_i1																																																																																																																																
OG0009246																						jgi|Chagl1|587372|fgenesh1_kg.8_#_323_#_TRINITY_DN14344_c0_g2_i1																																																																																																																																
OG0009247																						jgi|Chagl1|587694|fgenesh1_kg.8_#_645_#_TRINITY_DN6969_c0_g7_i1																																																																																																																																
OG0009248																						jgi|Chagl1|589534|fgenesh1_pm.1_#_1560																																																																																																																																
OG0009249																						jgi|Chagl1|594474|fgenesh1_pm.5_#_917																																																																																																																																
OG0009250																						jgi|Chagl1|597308|gm1.511_g																																																																																																																																
OG0009251																						jgi|Chagl1|597816|gm1.1019_g																																																																																																																																
OG0009252																						jgi|Chagl1|598621|gm1.1824_g																																																																																																																																
OG0009253																						jgi|Chagl1|599803|gm1.3006_g																																																																																																																																
OG0009254																						jgi|Chagl1|602557|gm1.5760_g																																																																																																																																
OG0009255																						jgi|Chagl1|602603|gm1.5806_g																																																																																																																																
OG0009256																						jgi|Chagl1|620075|estExt_fgenesh1_pm.C_3_t20347																																																																																																																																
OG0009257																						jgi|Chagl1|632522|estExt_Genemark1.C_6_t20090																																																																																																																																
OG0009258																						jgi|Chagl1|66194|CE66193_116																																																																																																																																
OG0009259																						jgi|Chagl1|74387|CE74386_3605																																																																																																																																
OG0009260																						jgi|Chagl1|80833|CE80832_288																																																																																																																																
OG0009261																						jgi|Chagl1|92483|CE92482_35																																																																																																																																
OG0009262																						jgi|Chagl1|95529|CE95528_2110																																																																																																																																
OG0009263																							jgi|Chagl_1|9993|CHGT_00169																																																																																																																															
OG0009264																							jgi|Chagl_1|10463|CHGT_00639																																																																																																																															
OG0009265																							jgi|Chagl_1|10767|CHGT_00943																																																																																																																															
OG0009266																							jgi|Chagl_1|11001|CHGT_01177																																																																																																																															
OG0009267																							jgi|Chagl_1|11650|CHGT_01826																																																																																																																															
OG0009268																							jgi|Chagl_1|11774|CHGT_01950																																																																																																																															
OG0009269																							jgi|Chagl_1|11831|CHGT_02007																																																																																																																															
OG0009270																							jgi|Chagl_1|11890|CHGT_02066																																																																																																																															
OG0009271																							jgi|Chagl_1|12977|CHGT_03153																																																																																																																															
OG0009272																							jgi|Chagl_1|14235|CHGT_04411																																																																																																																															
OG0009273																							jgi|Chagl_1|14391|CHGT_04567																																																																																																																															
OG0009274																							jgi|Chagl_1|14490|CHGT_04666																																																																																																																															
OG0009275																							jgi|Chagl_1|14550|CHGT_04726																																																																																																																															
OG0009276																							jgi|Chagl_1|14947|CHGT_05123																																																																																																																															
OG0009277																							jgi|Chagl_1|15785|CHGT_05961																																																																																																																															
OG0009278																							jgi|Chagl_1|15947|CHGT_06123																																																																																																																															
OG0009279																							jgi|Chagl_1|16441|CHGT_06617																																																																																																																															
OG0009280																							jgi|Chagl_1|16477|CHGT_06653																																																																																																																															
OG0009281																							jgi|Chagl_1|16604|CHGT_06780																																																																																																																															
OG0009282																							jgi|Chagl_1|16877|CHGT_07053																																																																																																																															
OG0009283																							jgi|Chagl_1|16945|CHGT_07121																																																																																																																															
OG0009284																							jgi|Chagl_1|17726|CHGT_07902																																																																																																																															
OG0009285																							jgi|Chagl_1|17865|CHGT_08041																																																																																																																															
OG0009286																							jgi|Chagl_1|18387|CHGT_08563																																																																																																																															
OG0009287																							jgi|Chagl_1|18426|CHGT_08602																																																																																																																															
OG0009288																							jgi|Chagl_1|18730|CHGT_08906																																																																																																																															
OG0009289																							jgi|Chagl_1|19586|CHGT_09762																																																																																																																															
OG0009290																							jgi|Chagl_1|19911|CHGT_10087																																																																																																																															
OG0009291																							jgi|Chagl_1|20336|CHGT_10512																																																																																																																															
OG0009292																							jgi|Chagl_1|20360|CHGT_10536																																																																																																																															
OG0009293																								jgi|Chalo1|440268|fgenesh1_pg.1_#_349																																																																																																																														
OG0009294																								jgi|Chalo1|505799|MIX565_21_71																																																																																																																														
OG0009295																								jgi|Chalo1|458447|gm1.810_g																																																																																																																														
OG0009296																								jgi|Chalo1|448651|fgenesh1_pg.2_#_4																																																																																																																														
OG0009297																								jgi|Chalo1|477002|estExt_Genemark1.C_2_t10157																																																																																																																														
OG0009298																								jgi|Chalo1|433741|fgenesh1_kg.3_#_19_#_Locus13274v1rpkm2.61																																																																																																																														
OG0009299																								jgi|Chalo1|153316|CE153315_1243																																																																																																																														
OG0009300																								jgi|Chalo1|155051|CE155050_739																																																																																																																														
OG0009301																								jgi|Chalo1|434434|fgenesh1_kg.3_#_712_#_Locus14097v1rpkm2.21																																																																																																																														
OG0009302																								jgi|Chalo1|434445|fgenesh1_kg.3_#_723_#_Locus9724v1rpkm7.95																																																																																																																														
OG0009303																								jgi|Chalo1|434486|fgenesh1_kg.3_#_764_#_Locus11078v1rpkm4.91																																																																																																																														
OG0009304																								jgi|Chalo1|460871|gm1.3234_g																																																																																																																														
OG0009305																								jgi|Chalo1|460932|gm1.3295_g																																																																																																																														
OG0009306																								jgi|Chalo1|461207|gm1.3570_g																																																																																																																														
OG0009307																								jgi|Chalo1|435229|fgenesh1_kg.4_#_543_#_Locus14386v1rpkm2.11																																																																																																																														
OG0009308																								jgi|Chalo1|435506|fgenesh1_kg.4_#_820_#_Locus14098v1rpkm2.21																																																																																																																														
OG0009309																								jgi|Chalo1|452761|fgenesh1_pg.5_#_92																																																																																																																														
OG0009310																								jgi|Chalo1|462222|gm1.4585_g																																																																																																																														
OG0009311																								jgi|Chalo1|462351|gm1.4714_g																																																																																																																														
OG0009312																								jgi|Chalo1|462414|gm1.4777_g																																																																																																																														
OG0009313																								jgi|Chalo1|183574|CE183573_83																																																																																																																														
OG0009314																								jgi|Chalo1|453217|fgenesh1_pg.5_#_548																																																																																																																														
OG0009315																								jgi|Chalo1|436463|fgenesh1_kg.5_#_811_#_Locus15875v2rpkm0.00_PRE																																																																																																																														
OG0009316																								jgi|Chalo1|463072|gm1.5435_g																																																																																																																														
OG0009317																								jgi|Chalo1|436711|fgenesh1_kg.6_#_82_#_Locus16677v1rpkm1.39																																																																																																																														
OG0009318																								jgi|Chalo1|203315|CE203314_29																																																																																																																														
OG0009319																								jgi|Chalo1|404105|estExt_Genewise1Plus.C_6_t40484																																																																																																																														
OG0009320																								jgi|Chalo1|454588|fgenesh1_pg.6_#_825																																																																																																																														
OG0009321																								jgi|Chalo1|464071|gm1.6434_g																																																																																																																														
OG0009322																								jgi|Chalo1|464111|gm1.6474_g																																																																																																																														
OG0009323																								jgi|Chalo1|556388|estExt_fgenesh1_pg.C_6_t20479																																																																																																																														
OG0009324																								jgi|Chalo1|464241|gm1.6604_g																																																																																																																														
OG0009325																								jgi|Chalo1|454816|fgenesh1_pg.7_#_21																																																																																																																														
OG0009326																								jgi|Chalo1|437590|fgenesh1_kg.7_#_48_#_Locus12664v1rpkm3.04																																																																																																																														
OG0009327																								jgi|Chalo1|454951|fgenesh1_pg.7_#_156																																																																																																																														
OG0009328																								jgi|Chalo1|215029|CE215028_909																																																																																																																														
OG0009329																								jgi|Chalo1|437883|fgenesh1_kg.7_#_341_#_Locus20851v1rpkm0.87																																																																																																																														
OG0009330																								jgi|Chalo1|437899|fgenesh1_kg.7_#_357_#_Locus16909v2rpkm1.06																																																																																																																														
OG0009331																								jgi|Chalo1|438021|fgenesh1_kg.7_#_479_#_Locus1907v2rpkm0.00_PRE																																																																																																																														
OG0009332																								jgi|Chalo1|222844|CE222843_1962																																																																																																																														
OG0009333																								jgi|Chalo1|455752|fgenesh1_pg.7_#_957																																																																																																																														
OG0009334																								jgi|Chalo1|456141|fgenesh1_pg.8_#_358																																																																																																																														
OG0009335																								jgi|Chalo1|557614|estExt_fgenesh1_pg.C_8_t20020																																																																																																																														
OG0009336																								jgi|Chalo1|439054|fgenesh1_kg.8_#_662_#_Locus5622v1rpkm30.22																																																																																																																														
OG0009337																								jgi|Chalo1|457395|fgenesh1_pg.9_#_699																																																																																																																														
OG0009338																								jgi|Chalo1|457399|fgenesh1_pg.9_#_703																																																																																																																														
OG0009339																								jgi|Chalo1|467138|gm1.9501_g																																																																																																																														
OG0009340																								jgi|Chalo1|19683|CE19682_58																																																																																																																														
OG0009341																								jgi|Chalo1|558714|estExt_fgenesh1_pg.C_10_t10114																																																																																																																														
OG0009342																								jgi|Chalo1|425797|fgenesh1_kg.10_#_107_#_Locus12966v2rpkm2.05																																																																																																																														
OG0009343																								jgi|Chalo1|426350|fgenesh1_kg.10_#_660_#_Locus18500v1rpkm1.10																																																																																																																														
OG0009344																								jgi|Chalo1|28930|CE28929_240																																																																																																																														
OG0009345																								jgi|Chalo1|468330|gm1.10693_g																																																																																																																														
OG0009346																								jgi|Chalo1|492498|fgenesh1_pm.11_#_294																																																																																																																														
OG0009347																								jgi|Chalo1|39581|CE39580_250																																																																																																																														
OG0009348																								jgi|Chalo1|39816|CE39815_201																																																																																																																														
OG0009349																								jgi|Chalo1|468763|gm1.11126_g																																																																																																																														
OG0009350																								jgi|Chalo1|427109|fgenesh1_kg.11_#_613_#_Locus5293v2rpkm24.89																																																																																																																														
OG0009351																								jgi|Chalo1|468845|gm1.11208_g																																																																																																																														
OG0009352																								jgi|Chalo1|442695|fgenesh1_pg.11_#_810																																																																																																																														
OG0009353																								jgi|Chalo1|468956|gm1.11319_g																																																																																																																														
OG0009354																								jgi|Chalo1|485155|estExt_Genemark1.C_12_t10132																																																																																																																														
OG0009355																								jgi|Chalo1|469120|gm1.11483_g																																																																																																																														
OG0009356																								jgi|Chalo1|546908|estExt_fgenesh1_pm.C_12_t10293																																																																																																																														
OG0009357																								jgi|Chalo1|511269|MIX6035_145_97																																																																																																																														
OG0009358																								jgi|Chalo1|443320|fgenesh1_pg.12_#_564																																																																																																																														
OG0009359																								jgi|Chalo1|511721|MIX6487_2_39																																																																																																																														
OG0009360																								jgi|Chalo1|485765|estExt_Genemark1.C_13_t10010																																																																																																																														
OG0009361																								jgi|Chalo1|443642|fgenesh1_pg.13_#_27																																																																																																																														
OG0009362																								jgi|Chalo1|470407|gm1.12770_g																																																																																																																														
OG0009363																								jgi|Chalo1|470468|gm1.12831_g																																																																																																																														
OG0009364																								jgi|Chalo1|444341|fgenesh1_pg.13_#_726																																																																																																																														
OG0009365																								jgi|Chalo1|428741|fgenesh1_kg.14_#_35_#_Locus20716v1rpkm0.88																																																																																																																														
OG0009366																								jgi|Chalo1|70455|CE70454_806																																																																																																																														
OG0009367																								jgi|Chalo1|71734|CE71733_646																																																																																																																														
OG0009368																								jgi|Chalo1|429217|fgenesh1_kg.14_#_511_#_Locus6614v1rpkm22.20																																																																																																																														
OG0009369																								jgi|Chalo1|445585|fgenesh1_pg.15_#_397																																																																																																																														
OG0009370																								jgi|Chalo1|80612|CE80611_6																																																																																																																														
OG0009371																								jgi|Chalo1|487636|estExt_Genemark1.C_16_t10004																																																																																																																														
OG0009372																								jgi|Chalo1|418774|estExt_Genewise1Plus.C_16_t10386																																																																																																																														
OG0009373																								jgi|Chalo1|446148|fgenesh1_pg.16_#_208																																																																																																																														
OG0009374																								jgi|Chalo1|86884|CE86883_1597																																																																																																																														
OG0009375																								jgi|Chalo1|446409|fgenesh1_pg.16_#_469																																																																																																																														
OG0009376																								jgi|Chalo1|98068|CE98067_62																																																																																																																														
OG0009377																								jgi|Chalo1|447310|fgenesh1_pg.17_#_694																																																																																																																														
OG0009378																								jgi|Chalo1|431125|fgenesh1_kg.18_#_50_#_Locus33801v1rpkm0.00																																																																																																																														
OG0009379																								jgi|Chalo1|447456|fgenesh1_pg.18_#_141																																																																																																																														
OG0009380																								jgi|Chalo1|447491|fgenesh1_pg.18_#_176																																																																																																																														
OG0009381																								jgi|Chalo1|104859|CE104858_307																																																																																																																														
OG0009382																								jgi|Chalo1|474102|gm1.16465_g																																																																																																																														
OG0009383																								jgi|Chalo1|474364|gm1.16727_g																																																																																																																														
OG0009384																								jgi|Chalo1|113435|CE113434_1370																																																																																																																														
OG0009385																								jgi|Chalo1|113713|CE113712_15																																																																																																																														
OG0009386																								jgi|Chalo1|474867|gm1.17230_g																																																																																																																														
OG0009387																								jgi|Chalo1|474970|gm1.17333_g																																																																																																																														
OG0009388																								jgi|Chalo1|564625|estExt_fgenesh1_pg.C_200038																																																																																																																														
OG0009389																								jgi|Chalo1|139860|CE139859_250																																																																																																																														
OG0009390																								jgi|Chalo1|433379|fgenesh1_kg.20_#_200_#_Locus16006v1rpkm1.58																																																																																																																														
OG0009391																								jgi|Chalo1|490487|estExt_Genemark1.C_270001																																																																																																																														
OG0009392																									jgi|Chame1|123527|CE123526_38																																																																																																																													
OG0009393																									jgi|Chame1|125886|CE125885_413																																																																																																																													
OG0009394																									jgi|Chame1|130273|CE130272_332																																																																																																																													
OG0009395																									jgi|Chame1|131169|CE131168_277																																																																																																																													
OG0009396																									jgi|Chame1|144895|CE144894_1211																																																																																																																													
OG0009397																									jgi|Chame1|155606|CE155605_41304																																																																																																																													
OG0009398																									jgi|Chame1|160660|CE160659_211																																																																																																																													
OG0009399																									jgi|Chame1|189268|CE189267_315																																																																																																																													
OG0009400																									jgi|Chame1|207001|CE207000_5748																																																																																																																													
